,Market,Variant ID,total_sessions,total_ltv,ltv_per_subscription,control_value,variation
0,Finland,Control,257,1477480,5749.0,5749.0,0.0
1,Finland,Variant 1,231,1300040,5628.0,5749.0,-0.021047138632805704
2,Finland,Variant 2,237,1306560,5513.0,5749.0,-0.04105061749869542
3,Norway,Control,239,1383200,5787.0,5787.0,0.0
4,Norway,Variant 1,210,1201480,5721.0,5787.0,-0.011404872991187144
5,Norway,Variant 2,232,1246480,5373.0,5787.0,-0.07153965785381027
6,Sweden,Variant 1,360,2001520,5560.0,4897.0,0.13538901368184603
7,Sweden,Variant 2,358,1987400,5551.0,4897.0,0.1335511537676128
8,Sweden,Control,354,1733480,4897.0,4897.0,0.0
9,Denmark,Variant 1,379,2340240,6175.0,5820.0,0.06099656357388316
10,Denmark,Control,382,2223280,5820.0,5820.0,0.0
11,Denmark,Variant 2,352,1939200,5509.0,5820.0,-0.053436426116838485
